,Age,Survived,Pclass,SibSp,Fare,Gender
0,2,0,3,1,0,0
1,3,1,1,1,3,1
2,2,1,3,0,1,1
3,3,1,1,1,3,1
4,3,0,3,0,1,0
5,2,0,3,0,1,0
6,4,0,1,0,3,0
7,0,0,3,3,2,0
8,2,1,3,0,1,1
9,1,1,2,1,2,1
10,0,1,3,1,2,1
11,5,1,1,0,2,1
12,2,0,3,0,1,0
13,3,0,3,1,3,0
14,1,0,3,0,0,1
15,4,1,2,0,2,1
16,0,0,3,4,2,0
17,2,1,2,0,1,0
18,3,0,3,1,2,1
19,2,1,3,0,0,1
20,3,0,2,0,2,0
21,3,1,2,0,1,0
22,1,1,3,0,1,1
23,2,1,1,0,3,0
24,1,0,3,3,2,1
25,3,1,3,1,3,1
26,2,0,3,0,0,0
27,2,0,1,3,3,0
28,2,1,3,0,0,1
29,2,0,3,0,0,0
30,3,0,1,0,2,0
31,2,1,1,1,3,1
32,2,1,3,0,0,1
33,6,0,2,0,1,0
34,2,0,1,1,3,0
35,4,0,1,1,3,0
36,2,1,3,0,0,0
37,2,0,3,0,1,0
38,2,0,3,2,2,1
39,1,1,3,1,1,1
40,3,0,3,1,1,1
41,2,0,2,1,2,1
42,2,0,3,0,0,0
43,0,1,2,1,3,1
44,2,1,3,0,0,1
45,2,0,3,0,1,0
46,2,0,3,1,2,0
47,2,1,3,0,0,1
48,2,0,3,2,2,0
49,2,0,3,1,2,1
50,1,0,3,4,3,0
51,2,0,3,0,0,0
52,4,1,1,1,3,1
53,2,1,2,1,2,1
54,5,0,1,0,3,0
55,2,1,1,0,3,0
56,2,1,2,0,1,1
57,2,0,3,0,0,0
58,0,1,2,1,2,1
59,1,0,3,5,3,0
60,2,0,3,0,0,0
61,3,1,1,0,3,1
62,4,0,1,1,3,0
63,0,0,3,3,2,0
64,2,0,1,0,2,0
65,2,1,3,1,2,0
66,2,1,2,0,1,1
67,2,0,3,0,1,0
68,2,1,3,4,1,1
69,2,0,3,2,1,0
70,3,0,2,0,1,0
71,2,0,3,5,3,1
72,2,0,2,0,3,0
73,2,0,3,1,2,0
74,3,1,3,0,3,0
75,2,0,3,0,0,0
76,2,0,3,0,0,0
77,2,0,3,0,1,0
78,0,1,2,0,2,0
79,2,1,3,0,1,1
80,2,0,3,0,1,0
81,2,1,3,0,1,0
82,2,1,3,0,0,1
83,2,0,1,0,3,0
84,2,1,2,0,1,1
85,3,1,3,3,2,1
86,2,0,3,1,3,0
87,2,0,3,0,1,0
88,2,1,1,3,3,1
89,2,0,3,0,1,0
90,2,0,3,0,1,0
91,2,0,3,0,0,0
92,4,0,1,1,3,0
93,2,0,3,1,2,0
94,5,0,3,0,0,0
95,2,0,3,0,1,0
96,6,0,1,0,3,0
97,2,1,1,0,3,0
98,3,1,2,0,2,1
99,3,0,2,1,2,0
100,2,0,3,0,0,1
101,2,0,3,0,0,0
102,2,0,1,0,3,0
103,3,0,3,0,1,0
104,3,0,3,2,1,0
105,2,0,3,0,0,0
106,2,1,3,0,0,1
107,2,1,3,0,0,0
108,3,0,3,0,0,0
109,2,1,3,1,2,1
110,4,0,1,0,3,0
111,1,0,3,1,2,1
112,2,0,3,0,1,0
113,2,0,3,1,1,1
114,2,0,3,0,2,1
115,2,0,3,0,1,0
116,6,0,3,0,0,0
117,2,0,2,1,2,0
118,2,0,1,0,3,0
119,0,0,3,4,3,1
120,2,0,2,2,3,0
121,2,0,3,0,1,0
122,3,0,2,1,2,0
123,3,1,2,0,1,1
124,4,0,1,0,3,0
125,1,1,3,1,1,0
126,2,0,3,0,0,0
127,2,1,3,0,0,0
128,2,1,3,1,2,1
129,4,0,3,0,0,0
130,3,0,3,0,0,0
131,2,0,3,0,0,0
132,4,0,3,1,2,1
133,2,1,2,1,2,1
134,2,0,2,0,1,0
135,2,0,2,0,2,0
136,2,1,1,0,2,1
137,3,0,1,1,3,0
138,2,0,3,0,1,0
139,2,0,1,0,3,0
140,2,0,3,0,2,1
141,2,1,3,0,0,1
142,2,1,3,1,2,1
143,2,0,3,0,0,0
144,2,0,2,0,1,0
145,2,0,2,1,3,0
146,2,1,3,0,0,0
147,1,0,3,2,3,1
148,3,0,2,0,2,0
149,4,0,2,0,1,0
150,4,0,2,0,1,0
151,2,1,1,1,3,1
152,5,0,3,0,1,0
153,4,0,3,0,2,0
154,2,0,3,0,0,0
155,4,0,1,0,3,0
156,2,1,3,0,0,1
157,2,0,3,0,1,0
158,2,0,3,0,1,0
159,2,0,3,8,3,0
160,4,0,3,0,2,0
161,3,1,2,0,2,1
162,2,0,3,0,0,0
163,2,0,3,0,1,0
164,0,0,3,4,3,0
165,1,1,3,0,2,0
166,2,1,1,0,3,1
167,4,0,3,1,2,1
168,2,0,1,0,2,0
169,2,0,3,0,3,0
170,5,0,1,0,3,0
171,0,0,3,4,2,0
172,0,1,3,1,1,1
173,2,0,3,0,1,0
174,5,0,1,0,2,0
175,2,0,3,1,0,0
176,2,0,3,3,2,0
177,4,0,1,0,2,1
178,2,0,2,0,1,0
179,3,0,3,0,0,0
180,2,0,3,8,3,1
181,2,0,2,0,2,0
182,1,0,3,4,3,0
183,0,1,2,2,3,0
184,0,1,3,0,2,1
185,2,0,1,0,3,0
186,2,1,3,1,2,1
187,4,1,1,0,2,0
188,3,0,3,1,2,0
189,3,0,3,0,0,0
190,3,1,2,0,1,1
191,2,0,2,0,1,0
192,2,1,3,1,0,1
193,0,1,2,1,2,0
194,4,1,1,0,2,1
195,5,1,1,0,3,1
196,2,0,3,0,0,0
197,4,0,3,0,1,0
198,2,1,3,0,0,1
199,2,0,2,0,1,1
200,2,0,3,0,1,0
201,2,0,3,8,3,0
202,3,0,3,0,0,0
203,4,0,3,0,0,0
204,2,1,3,0,1,0
205,0,0,3,0,1,1
206,3,0,3,1,2,0
207,2,1,3,0,2,0
208,2,1,3,0,0,1
209,3,1,1,0,2,0
210,2,0,3,0,0,0
211,3,1,2,0,2,1
212,2,0,3,0,0,0
213,2,0,2,0,1,0
214,2,0,3,1,0,0
215,3,1,1,1,3,1
216,2,1,3,0,1,1
217,4,0,2,1,2,0
218,3,1,1,0,3,1
219,2,0,2,0,1,0
220,2,1,3,0,1,0
221,2,0,2,0,1,0
222,4,0,3,0,1,0
223,2,0,3,0,0,0
224,3,1,1,1,3,0
225,2,0,3,0,1,0
226,2,1,2,0,1,0
227,2,0,3,0,0,0
228,2,0,2,0,1,0
229,2,0,3,3,2,1
230,3,1,1,1,3,1
231,2,0,3,0,0,0
232,5,0,2,0,1,0
233,0,1,3,4,3,1
234,2,0,2,0,1,0
235,2,0,3,0,0,1
236,4,0,2,1,2,0
237,1,1,2,0,2,1
238,2,0,2,0,1,0
239,3,0,2,0,1,0
240,2,0,3,1,2,1
241,2,1,3,1,2,1
242,2,0,2,0,1,0
243,2,0,3,0,0,0
244,2,0,3,0,0,0
245,4,0,1,2,3,0
246,2,0,3,0,0,1
247,2,1,2,0,2,1
248,3,1,1,1,3,0
249,4,0,2,1,2,0
250,2,0,3,0,0,0
251,2,0,3,1,1,1
252,5,0,1,0,2,0
253,2,0,3,1,2,0
254,4,0,3,0,2,1
255,2,1,3,0,2,1
256,2,1,1,0,3,1
257,2,1,1,0,3,1
258,3,1,1,0,3,1
259,4,1,2,0,2,1
260,2,0,3,0,0,0
261,0,1,3,4,3,0
262,4,0,1,1,3,0
263,3,0,1,0,0,0
264,2,0,3,0,0,1
265,3,0,2,0,1,0
266,2,0,3,4,3,0
267,2,1,3,1,0,0
268,5,1,1,0,3,1
269,3,1,1,0,3,1
270,2,0,1,0,2,0
271,2,1,3,0,0,0
272,4,1,2,0,2,1
273,3,0,1,0,2,0
274,2,1,3,0,0,1
275,5,1,1,1,3,1
276,4,0,3,0,0,1
277,2,0,2,0,0,0
278,1,0,3,4,2,0
279,3,1,3,1,2,1
280,5,0,3,0,0,0
281,2,0,3,0,0,0
282,2,0,3,0,1,0
283,2,1,3,0,1,0
284,2,0,1,0,2,0
285,3,0,3,0,1,0
286,2,1,3,0,1,0
287,2,0,3,0,0,0
288,4,1,2,0,1,0
289,2,1,3,0,0,1
290,2,1,1,0,3,1
291,2,1,1,1,3,1
292,3,0,2,0,1,0
293,2,0,3,0,1,1
294,2,0,3,0,0,0
295,2,0,1,0,2,0
296,2,0,3,0,0,0
297,0,0,1,1,3,1
298,2,1,1,0,2,0
299,4,1,1,0,3,1
300,2,1,3,0,0,1
301,2,1,3,2,2,0
302,2,0,3,0,0,0
303,2,1,2,0,1,1
304,2,0,3,0,1,0
305,0,1,1,1,3,0
306,2,1,1,0,3,1
307,2,1,1,1,3,1
308,2,0,2,1,2,0
309,2,1,1,0,3,1
310,2,1,1,0,3,1
311,2,1,1,2,3,1
312,2,0,2,1,2,1
313,2,0,3,0,0,0
314,4,0,2,1,2,0
315,2,1,3,0,0,1
316,2,1,2,1,2,1
317,4,0,2,0,1,0
318,3,1,1,0,3,1
319,3,1,1,1,3,1
320,2,0,3,0,0,0
321,2,0,3,0,0,0
322,2,1,2,0,1,1
323,2,1,2,1,2,1
324,2,0,3,8,3,0
325,3,1,1,0,3,1
326,5,0,3,0,0,0
327,3,1,2,0,1,1
328,3,1,3,1,2,1
329,2,1,1,0,3,1
330,2,1,3,2,2,1
331,4,0,1,0,2,0
332,3,0,1,0,3,0
333,2,0,3,2,2,0
334,2,1,1,1,3,1
335,2,0,3,0,0,0
336,2,0,1,1,3,0
337,4,1,1,0,3,1
338,4,1,3,0,1,0
339,4,0,1,0,3,0
340,0,1,2,1,2,0
341,2,1,1,3,3,1
342,2,0,2,0,1,0
343,2,0,2,0,1,0
344,3,0,2,0,1,0
345,2,1,2,0,1,1
346,3,1,2,0,1,1
347,2,1,3,1,2,1
348,0,1,3,1,2,0
349,4,0,3,0,1,0
350,2,0,3,0,1,0
351,2,0,1,0,3,0
352,1,0,3,1,0,0
353,2,0,3,1,2,0
354,2,0,3,0,0,0
355,2,0,3,0,1,0
356,2,1,1,0,3,1
357,3,0,2,0,1,1
358,2,1,3,0,0,1
359,2,1,3,0,0,1
360,3,0,3,1,2,0
361,2,0,2,1,2,0
362,4,0,3,0,2,1
363,3,0,3,0,0,0
364,2,0,3,1,2,0
365,2,0,3,0,0,0
366,5,1,1,1,3,1
367,2,1,3,0,0,1
368,2,1,3,0,0,1
369,2,1,1,0,3,1
370,2,1,1,1,3,0
371,2,0,3,1,0,0
372,2,0,3,0,1,0
373,2,0,1,0,3,0
374,0,0,3,3,2,1
375,2,1,1,1,3,1
376,2,1,3,0,0,1
377,2,0,1,0,3,0
378,2,0,3,0,0,0
379,2,0,3,0,0,0
380,4,1,1,0,3,1
381,0,1,3,0,2,1
382,3,0,3,0,1,0
383,3,1,1,1,3,1
384,2,0,3,0,0,0
385,2,0,2,0,3,0
386,0,0,3,5,3,0
387,3,1,2,0,1,1
388,2,0,3,0,0,0
389,2,1,2,0,1,1
390,3,1,1,1,3,0
391,2,1,3,0,0,0
392,2,0,3,2,1,0
393,2,1,1,1,3,1
394,2,1,3,0,2,1
395,2,0,3,0,0,0
396,3,0,3,0,0,1
397,4,0,2,0,2,0
398,2,0,2,0,1,0
399,2,1,2,0,1,1
400,3,1,3,0,1,0
401,2,0,3,0,1,0
402,2,0,3,1,1,1
403,2,0,3,1,2,0
404,2,0,3,0,1,1
405,3,0,2,1,2,0
406,4,0,3,0,0,0
407,0,1,2,1,2,0
408,2,0,3,0,0,0
409,2,0,3,3,2,1
410,2,0,3,0,0,0
411,2,0,3,0,0,0
412,3,1,1,1,3,1
413,2,0,2,0,0,0
414,4,1,3,0,1,0
415,2,0,3,0,1,1
416,3,1,2,1,3,1
417,2,1,2,0,1,1
418,2,0,2,0,1,0
419,1,0,3,0,2,1
420,2,0,3,0,0,0
421,2,0,3,0,0,0
422,2,0,3,0,0,0
423,2,0,3,1,1,1
424,2,0,3,1,2,0
425,2,0,3,0,0,0
426,2,1,2,1,2,1
427,2,1,2,0,2,1
428,2,0,3,0,0,0
429,3,1,3,0,1,0
430,2,1,1,0,2,0
431,2,1,3,1,2,1
432,4,1,2,1,2,1
433,2,0,3,0,0,0
434,4,0,1,1,3,0
435,1,1,1,1,3,1
436,2,0,3,2,3,1
437,2,1,2,2,2,1
438,5,0,1,1,3,0
439,3,0,2,0,1,0
440,4,1,2,1,2,1
441,2,0,3,0,1,0
442,2,0,3,1,0,0
443,2,1,2,0,1,1
444,2,1,3,0,1,0
445,0,1,1,0,3,0
446,1,1,2,0,2,1
447,3,1,1,0,2,0
448,0,1,3,2,2,1
449,4,1,1,0,2,0
450,3,0,2,1,2,0
451,2,0,3,1,2,0
452,2,0,1,0,2,0
453,4,1,1,1,3,0
454,2,0,3,0,1,0
455,2,1,3,0,0,0
456,5,0,1,0,2,0
457,2,1,1,1,3,1
458,4,1,2,0,1,1
459,2,0,3,0,0,0
460,4,1,1,0,2,0
461,3,0,3,0,1,0
462,4,0,1,0,3,0
463,4,0,2,0,1,0
464,2,0,3,0,1,0
465,3,0,3,0,0,0
466,2,0,2,0,0,0
467,5,0,1,0,2,0
468,2,0,3,0,0,0
469,0,1,3,2,2,1
470,2,0,3,0,0,0
471,3,0,3,0,1,0
472,3,1,2,1,2,1
473,2,1,2,0,1,1
474,2,0,3,0,1,1
475,2,0,1,0,3,0
476,3,0,2,1,2,0
477,2,0,3,1,0,0
478,2,0,3,0,0,0
479,0,1,3,0,1,1
480,1,0,3,5,3,0
481,2,0,2,0,0,0
482,4,0,3,0,1,0
483,5,1,3,0,1,1
484,2,1,1,1,3,0
485,2,0,3,3,2,1
486,3,1,1,1,3,1
487,5,0,1,0,2,0
488,2,0,3,0,1,0
489,1,1,3,1,2,0
490,2,0,3,1,2,0
491,2,0,3,0,0,0
492,4,0,1,0,2,0
493,6,0,1,0,3,0
494,2,0,3,0,1,0
495,2,0,3,0,2,0
496,4,1,1,1,3,1
497,2,0,3,0,2,0
498,2,0,1,1,3,1
499,2,0,3,0,0,0
500,2,0,3,0,1,0
501,2,0,3,0,0,1
502,2,0,3,0,0,1
503,3,0,3,0,1,1
504,2,1,1,0,3,1
505,2,0,1,1,3,0
506,3,1,2,0,2,1
507,2,1,1,0,2,0
508,2,0,3,0,2,0
509,2,1,3,0,3,0
510,2,1,3,0,0,0
511,2,0,3,0,1,0
512,3,1,1,0,2,0
513,4,1,1,1,3,1
514,2,0,3,0,0,0
515,4,0,1,0,3,0
516,3,1,2,0,1,1
517,2,0,3,0,2,0
518,3,1,2,1,2,1
519,3,0,3,0,0,0
520,2,1,1,0,3,1
521,2,0,3,0,0,0
522,2,0,3,0,0,0
523,4,1,1,0,3,1
524,2,0,3,0,0,0
525,4,0,3,0,0,0
526,4,1,2,0,1,1
527,2,0,1,0,3,0
528,3,0,3,0,1,0
529,2,0,2,2,1,0
530,0,1,2,1,2,1
531,2,0,3,0,0,0
532,2,0,3,1,0,0
533,2,1,3,0,2,1
534,2,0,3,0,1,1
535,1,1,2,0,2,1
536,4,0,1,0,2,0
537,2,1,1,0,3,1
538,2,0,3,0,2,0
539,2,1,1,0,3,1
540,3,1,1,0,3,1
541,1,0,3,4,3,1
542,1,0,3,4,3,1
543,3,1,2,1,2,0
544,4,0,1,1,3,0
545,5,0,1,0,2,0
546,2,1,2,1,2,1
547,2,1,2,0,1,0
548,3,0,3,1,2,0
549,1,1,2,1,3,0
550,2,1,1,0,3,0
551,2,0,2,0,2,0
552,2,0,3,0,0,0
553,2,1,3,0,0,0
554,2,1,3,0,0,1
555,5,0,1,0,2,0
556,4,1,1,1,3,1
557,2,0,1,0,3,0
558,3,1,1,1,3,1
559,3,1,3,1,2,1
560,2,0,3,0,0,0
561,3,0,3,0,0,0
562,2,0,2,0,1,0
563,2,0,3,0,1,0
564,2,0,3,0,1,1
565,2,0,3,2,2,0
566,2,0,3,0,0,0
567,2,0,3,0,2,1
568,2,0,3,0,0,0
569,3,1,3,0,0,0
570,5,1,2,0,1,0
571,4,1,1,2,3,1
572,3,1,1,0,2,0
573,2,1,3,0,0,1
574,2,0,3,0,1,0
575,2,0,3,0,2,0
576,3,1,2,0,1,1
577,3,1,1,1,3,1
578,2,0,3,1,2,1
579,3,1,3,0,1,0
580,2,1,2,1,2,1
581,3,1,1,1,3,1
582,4,0,2,0,2,0
583,3,0,1,0,3,0
584,2,0,3,0,1,0
585,2,1,1,0,3,1
586,4,0,2,0,2,0
587,5,1,1,1,3,0
588,2,0,3,0,1,0
589,2,0,3,0,1,0
590,3,0,3,0,0,0
591,4,1,1,1,3,1
592,4,0,3,0,0,0
593,2,0,3,0,0,1
594,3,0,2,1,2,0
595,3,0,3,1,2,0
596,2,1,2,0,3,1
597,4,0,3,0,0,0
598,2,0,3,0,0,0
599,4,1,1,1,3,0
600,2,1,2,2,2,1
601,2,0,3,0,0,0
602,2,0,1,0,3,0
603,4,0,3,0,1,0
604,3,1,1,0,2,0
605,3,0,3,1,2,0
606,2,0,3,0,0,0
607,2,1,1,0,2,0
608,2,1,2,1,3,1
609,3,1,1,0,3,1
610,3,0,3,1,3,1
611,2,0,3,0,0,0
612,2,1,3,1,2,1
613,2,0,3,0,0,0
614,3,0,3,0,1,0
615,2,1,2,1,3,1
616,3,0,3,1,1,0
617,2,0,3,1,2,1
618,0,1,2,2,3,1
619,2,0,2,0,1,0
620,2,0,3,1,2,0
621,4,1,1,1,3,0
622,2,1,3,1,2,0
623,2,0,3,0,0,0
624,2,0,3,0,2,0
625,5,0,1,0,3,0
626,5,0,2,0,1,0
627,2,1,1,0,3,1
628,2,0,3,0,0,0
629,2,0,3,0,0,0
630,6,1,1,0,2,0
631,4,0,3,0,0,0
632,3,1,1,0,2,0
633,2,0,1,0,0,0
634,1,0,3,3,2,1
635,2,1,2,0,1,1
636,3,0,3,0,1,0
637,3,0,2,1,2,0
638,4,0,3,0,3,1
639,2,0,3,1,2,0
640,2,0,3,0,0,0
641,2,1,1,0,3,1
642,0,0,3,3,2,1
643,2,1,3,0,3,0
644,0,1,3,2,2,1
645,4,1,1,1,3,0
646,2,0,3,0,0,0
647,5,1,1,0,3,0
648,2,0,3,0,0,0
649,2,1,3,0,0,1
650,2,0,3,0,0,0
651,2,1,2,0,2,1
652,2,0,3,0,1,0
653,2,1,3,0,0,1
654,2,0,3,0,0,1
655,2,0,2,2,3,0
656,2,0,3,0,0,0
657,3,0,3,1,2,1
658,2,0,2,0,1,0
659,5,0,1,0,3,0
660,4,1,1,2,3,0
661,3,0,3,0,0,0
662,4,0,1,0,2,0
663,3,0,3,0,0,0
664,2,1,3,1,1,0
665,3,0,2,2,3,0
666,2,0,2,0,1,0
667,2,0,3,0,0,0
668,4,0,3,0,1,0
669,2,1,1,1,3,1
670,3,1,2,1,3,1
671,3,0,1,1,3,0
672,6,0,2,0,1,0
673,3,1,2,0,1,0
674,2,0,2,0,0,0
675,2,0,3,0,0,0
676,2,0,3,0,1,0
677,2,1,3,0,1,1
678,4,0,3,1,3,1
679,3,1,1,0,3,0
680,2,0,3,0,1,1
681,2,1,1,0,3,0
682,2,0,3,0,1,0
683,1,0,3,5,3,0
684,5,0,2,1,3,0
685,2,0,2,1,3,0
686,1,0,3,4,3,0
687,2,0,3,0,1,0
688,2,0,3,0,0,0
689,1,1,1,0,3,1
690,3,1,1,1,3,0
691,0,1,3,0,1,1
692,2,1,3,0,3,0
693,2,0,3,0,0,0
694,5,0,1,0,2,0
695,4,0,2,0,1,0
696,4,0,3,0,1,0
697,2,1,3,0,0,1
698,4,0,1,1,3,0
699,4,0,3,0,0,0
700,2,1,1,1,3,1
701,3,1,1,0,2,0
702,2,0,3,0,2,1
703,2,0,3,0,0,0
704,2,0,3,1,0,0
705,3,0,2,0,2,0
706,4,1,2,0,1,1
707,4,1,1,0,2,0
708,2,1,1,0,3,1
709,2,1,3,1,2,0
710,2,1,1,0,3,1
711,2,0,1,0,2,0
712,4,1,1,1,3,0
713,2,0,3,0,1,0
714,4,0,2,0,1,0
715,2,0,3,0,0,0
716,3,1,1,0,3,1
717,2,1,2,0,1,1
718,2,0,3,0,2,0
719,3,0,3,0,0,0
720,1,1,2,0,3,1
721,2,0,3,1,0,0
722,3,0,2,0,1,0
723,4,0,2,0,1,0
724,2,1,1,1,3,0
725,2,0,3,0,1,0
726,2,1,2,3,2,1
727,2,1,3,0,0,1
728,2,0,2,1,2,0
729,2,0,3,1,1,1
730,2,1,1,0,3,1
731,1,0,3,0,2,0
732,2,0,2,0,0,0
733,2,0,2,0,1,0
734,2,0,2,0,1,0
735,2,0,3,0,2,0
736,4,0,3,1,3,1
737,3,1,1,0,3,0
738,2,0,3,0,0,0
739,2,0,3,0,0,0
740,2,1,1,0,2,0
741,3,0,1,1,3,0
742,2,1,1,2,3,1
743,2,0,3,1,2,0
744,3,1,3,0,1,0
745,6,0,1,1,3,0
746,2,0,3,1,2,0
747,2,1,2,0,1,1
748,2,0,1,1,3,0
749,3,0,3,0,0,0
750,0,1,2,1,2,1
751,1,1,3,0,1,0
752,3,0,3,0,1,0
753,2,0,3,0,0,0
754,4,1,2,1,3,1
755,0,1,2,1,2,0
756,2,0,3,0,0,0
757,2,0,2,0,1,0
758,3,0,3,0,1,0
759,3,1,1,0,3,1
760,2,0,3,0,2,0
761,4,0,3,0,0,0
762,2,1,3,0,0,0
763,3,1,1,1,3,1
764,2,0,3,0,0,0
765,4,1,1,1,3,1
766,2,0,1,0,3,0
767,3,0,3,0,0,1
768,2,0,3,1,2,0
769,3,0,3,0,1,0
770,2,0,3,0,1,0
771,4,0,3,0,0,0
772,5,0,2,0,1,1
773,2,0,3,0,0,0
774,4,1,2,1,2,1
775,2,0,3,0,0,0
776,2,0,3,0,0,0
777,0,1,3,0,1,1
778,2,0,3,0,0,0
779,4,1,1,0,3,1
780,1,1,3,0,0,1
781,2,1,1,1,3,1
782,2,0,1,0,2,0
783,2,0,3,1,2,0
784,2,0,3,0,0,0
785,2,0,3,0,0,0
786,2,1,3,0,0,1
787,1,0,3,4,2,0
788,0,1,3,1,2,0
789,4,0,1,0,3,0
790,2,0,3,0,0,0
791,2,0,2,0,2,0
792,2,0,3,8,3,1
793,2,0,1,0,2,0
794,2,0,3,0,0,0
795,3,0,2,0,1,0
796,4,1,1,0,2,1
797,3,1,3,0,1,1
798,2,0,3,0,0,0
799,2,0,3,1,2,1
800,3,0,2,0,1,0
801,3,1,2,1,2,1
802,1,1,1,1,3,0
803,0,1,3,0,1,0
804,2,1,3,0,0,0
805,3,0,3,0,0,0
806,3,0,1,0,0,0
807,2,0,3,0,0,1
808,3,0,2,0,1,0
809,3,1,1,1,3,1
810,2,0,3,0,0,0
811,3,0,3,0,2,0
812,3,0,2,0,1,0
813,1,0,3,4,3,1
814,3,0,3,0,1,0
815,2,0,1,0,0,0
816,2,0,3,0,1,1
817,3,0,2,1,3,0
818,4,0,3,0,0,0
819,1,0,3,3,2,0
820,4,1,1,1,3,1
821,2,1,3,0,1,0
822,3,0,1,0,0,0
823,2,1,3,0,1,1
824,0,0,3,4,3,0
825,2,0,3,0,0,0
826,2,0,3,0,3,0
827,0,1,2,0,3,0
828,2,1,3,0,0,0
829,5,1,1,0,3,1
830,1,1,3,1,2,1
831,0,1,2,1,2,0
832,2,0,3,0,0,0
833,2,0,3,0,0,0
834,2,0,3,0,1,0
835,3,1,1,1,3,1
836,2,0,3,0,1,0
837,2,0,3,0,1,0
838,3,1,3,0,3,0
839,2,1,1,0,2,0
840,2,0,3,0,1,0
841,2,0,2,0,1,0
842,2,1,1,0,2,1
843,3,0,3,0,0,0
844,2,0,3,0,1,0
845,4,0,3,0,0,0
846,2,0,3,8,3,0
847,3,0,3,0,0,0
848,2,0,2,0,3,0
849,2,1,1,1,3,1
850,0,0,3,4,3,0
851,6,0,3,0,0,0
852,1,0,3,1,2,1
853,2,1,1,0,3,1
854,4,0,2,1,2,1
855,2,1,3,0,1,1
856,4,1,1,1,3,1
857,4,1,1,0,2,0
858,2,1,3,0,2,1
859,2,0,3,0,0,0
860,4,0,3,2,1,0
861,2,0,2,1,1,0
862,4,1,1,0,2,1
863,2,0,3,8,3,1
864,2,0,2,0,1,0
865,4,1,2,0,1,1
866,2,1,2,1,1,1
867,3,0,1,0,3,0
868,2,0,3,0,1,0
869,0,1,3,1,1,0
870,2,0,3,0,0,0
871,4,1,1,1,3,1
872,3,0,1,0,0,0
873,4,0,3,0,1,0
874,2,1,2,1,2,1
875,1,1,3,0,0,1
876,2,0,3,0,1,0
877,2,0,3,0,0,0
878,2,0,3,0,0,0
879,5,1,1,0,3,1
880,2,1,2,0,2,1
881,3,0,3,0,0,0
882,2,0,3,0,1,1
883,2,0,2,0,1,0
884,2,0,3,0,0,0
885,3,0,3,0,2,1
886,2,0,2,0,1,0
887,2,1,1,0,2,1
888,2,0,3,1,2,1
889,2,1,1,0,2,0
890,3,0,3,0,0,0
